##[group]==END_FILE==, 140.22736456022415, , , , 31608971, False, 
##[group]GITHUB_TOKEN Permissions, 155.2975851152307, , , , 2397302, False, 
##[group]Run sudo apt-get install xvfb libgl1-mesa-dri zopfli, 381.525464682668, , , , 3176704, False, 
##[group]Run actions/checkout@v3, 26.63783662810112, , , , 159432, False, 
##[group]Setting up auth, 10.951273112908032, , , , 62463, False, 
##[group]Fetching the repository, 17.80197145699324, , , , 5478480, False, 
##[group]Checking out the ref, 21.127873088108046, , , , 977680, False, 
##[group]Run gradle/gradle-build-action@v2, 2.753197306891324, , , , 321401, False, 
##[group]Run DRI_PRIME=0 xvfb-run ./gradlew runGuideexport, 7.674581848701114, , , , 2926339, True, ##[error]Error: ENOENT: no such file or directory, mkdir '/root/.gradle/.gradle-build-action'
##[group]Run mkdir oxipng, 11.769795639500316, , , , 1360966, False, 
##[group]Run actions/upload-artifact@v4, 18.39723831821012, , , , 2153797, True, ##[error]Process completed with exit code 1.
