##[group]==END_FILE==, 1.5672271731778722, , , , 4975837, False, 
##[group]GITHUB_TOKEN Permissions, 11.740686964477412, , , , 2495635, False, 
##[group]Run roots/discourse-topic-github-release-action@c30dc233349b7c6f24f52fb1c659cc64f13b5474, 4.153104283305475, , , , 130703, False, 
##[group]Run dawidd6/action-send-mail@v3, 14.047011539332225, , , , 622764, True, ##[error]Input required and not supplied: discourse-api-key
